objectid,parcelcount,buildvaccount,buildvacpercentage,date_update,Shape__Area,Shape__Length
1,80,0,0,2025/07/07 00:00:00+00,26208.875,809.05041750417
2,68,0,0,2025/07/07 00:00:00+00,17206.359375,637.866410527655
3,27,0,0,2025/07/07 00:00:00+00,14195.75390625,584.941295921987
4,30,0,0,2025/07/07 00:00:00+00,29874.99609375,797.177964422431
5,54,4,0.07,2025/07/07 00:00:00+00,19027.515625,1021.68135169805
6,34,0,0,2025/07/07 00:00:00+00,11175.66796875,554.252364055511
7,50,0,0,2025/07/07 00:00:00+00,8630.765625,445.922232038756
8,21,2,0.1,2025/07/07 00:00:00+00,12549.1640625,533.016048373346
9,27,0,0,2025/07/07 00:00:00+00,3047.71875,349.72197617184
10,38,0,0,2025/07/07 00:00:00+00,14139.58984375,548.556764715116
11,95,1,0.01,2025/07/07 00:00:00+00,31928.58984375,2205.82144048329
12,44,0,0,2025/07/07 00:00:00+00,25039.1953125,653.920055735174
13,21,0,0,2025/07/07 00:00:00+00,9787.4296875,413.460421110756
14,25,0,0,2025/07/07 00:00:00+00,23768.453125,743.488323615632
15,62,0,0,2025/07/07 00:00:00+00,27363.55859375,1150.30019341417
16,16,1,0.06,2025/07/07 00:00:00+00,4275.58203125,287.81423515665
17,36,0,0,2025/07/07 00:00:00+00,16143.4921875,648.695786936502
18,9,0,0,2025/07/07 00:00:00+00,26791.89453125,752.939743999259
19,49,0,0,2025/07/07 00:00:00+00,41461.44140625,888.12691321109
20,30,0,0,2025/07/07 00:00:00+00,9544.21875,539.565738841535
21,11,0,0,2025/07/07 00:00:00+00,5961.5625,449.736900604709
22,8,0,0,2025/07/07 00:00:00+00,2565.1640625,254.370932246381
23,26,2,0.08,2025/07/07 00:00:00+00,8005.53125,429.837815900794
24,40,0,0,2025/07/07 00:00:00+00,5608.1640625,468.346049318682
25,21,0,0,2025/07/07 00:00:00+00,23423.85546875,675.602092604411
26,47,1,0.02,2025/07/07 00:00:00+00,14658.0234375,526.766946791873
27,18,0,0,2025/07/07 00:00:00+00,6467.9921875,326.976899880105
28,7,0,0,2025/07/07 00:00:00+00,15761.39453125,519.267226038153
29,30,1,0.03,2025/07/07 00:00:00+00,6718.88671875,363.481888253485
30,23,0,0,2025/07/07 00:00:00+00,6964.74609375,334.910293383765
31,48,0,0,2025/07/07 00:00:00+00,27581.859375,1217.57765758748
32,163,1,0.01,2025/07/07 00:00:00+00,108287.25390625,2756.0326726662
33,248,2,0.01,2025/07/07 00:00:00+00,91613.109375,2533.3239366753
34,4,0,0,2025/07/07 00:00:00+00,577.42578125,96.3819263605334
35,20,0,0,2025/07/07 00:00:00+00,8924.9609375,384.141631017753
36,30,0,0,2025/07/07 00:00:00+00,5177.203125,449.502827913527
37,107,0,0,2025/07/07 00:00:00+00,22911.40625,995.286729130808
38,26,0,0,2025/07/07 00:00:00+00,2773.77734375,326.42254064389
39,3,0,0,2025/07/07 00:00:00+00,137708.26171875,1677.2194179434
40,55,2,0.04,2025/07/07 00:00:00+00,7235.03125,646.108736893864
41,5,0,0,2025/07/07 00:00:00+00,15975.80859375,544.696230394354
42,32,0,0,2025/07/07 00:00:00+00,13490.6171875,496.246929671249
43,30,0,0,2025/07/07 00:00:00+00,5152.65234375,302.081443940654
44,19,0,0,2025/07/07 00:00:00+00,2439.578125,258.126283250616
45,56,1,0.02,2025/07/07 00:00:00+00,11749.2265625,883.326981814003
46,24,0,0,2025/07/07 00:00:00+00,10706.64453125,592.009398502968
47,36,0,0,2025/07/07 00:00:00+00,8383.890625,373.646648314008
48,83,1,0.01,2025/07/07 00:00:00+00,25928.17578125,911.879584866961
49,15,0,0,2025/07/07 00:00:00+00,7112.34765625,338.356589780595
50,36,0,0,2025/07/07 00:00:00+00,17694.25,561.055819966082
51,42,0,0,2025/07/07 00:00:00+00,10181.828125,419.167735656377
52,27,0,0,2025/07/07 00:00:00+00,4271.55078125,378.190606215851
53,104,0,0,2025/07/07 00:00:00+00,8132906.203125,97431.0102112249
54,18,2,0.11,2025/07/07 00:00:00+00,1780.74609375,235.128768685555
55,64,1,0.02,2025/07/07 00:00:00+00,13365.5625,974.907123034305
56,62,0,0,2025/07/07 00:00:00+00,19525.0546875,1181.31258186257
57,22,0,0,2025/07/07 00:00:00+00,3928.56640625,315.119015084947
58,45,0,0,2025/07/07 00:00:00+00,6843.3828125,692.394205786165
59,28,0,0,2025/07/07 00:00:00+00,5154.05859375,416.544122408553
60,7,0,0,2025/07/07 00:00:00+00,923.578125,127.897109064049
61,15,0,0,2025/07/07 00:00:00+00,2466.21875,248.462882205146
62,38,0,0,2025/07/07 00:00:00+00,6163.29296875,354.219748549352
63,48,1,0.02,2025/07/07 00:00:00+00,8965.8125,589.773669330613
64,37,0,0,2025/07/07 00:00:00+00,20112.9375,657.306137145108
65,33,0,0,2025/07/07 00:00:00+00,11724.4609375,509.481962368505
66,24,0,0,2025/07/07 00:00:00+00,18711.80859375,537.863472604806
67,26,1,0.04,2025/07/07 00:00:00+00,12977.265625,637.337752673807
68,44,1,0.02,2025/07/07 00:00:00+00,17516.2578125,572.582552227449
69,27,0,0,2025/07/07 00:00:00+00,3159.6640625,364.368831836998
70,3,0,0,2025/07/07 00:00:00+00,6894.25390625,765.936991011735
71,28,1,0.04,2025/07/07 00:00:00+00,5281.12890625,297.352695257591
72,24,0,0,2025/07/07 00:00:00+00,2724.5703125,313.785126889856
73,46,1,0.02,2025/07/07 00:00:00+00,14006.73046875,806.314472722575
74,24,1,0.04,2025/07/07 00:00:00+00,5788.140625,383.407322533061
75,256,0,0,2025/07/07 00:00:00+00,486578.30078125,5409.27188816074
76,52,2,0.04,2025/07/07 00:00:00+00,17858.80078125,644.488492525123
77,65,0,0,2025/07/07 00:00:00+00,10741.09375,500.059679874804
78,12,0,0,2025/07/07 00:00:00+00,1196.421875,174.801383677284
79,48,1,0.02,2025/07/07 00:00:00+00,10497.765625,603.360973981364
80,56,1,0.02,2025/07/07 00:00:00+00,13553.14453125,532.561535011989
81,77,0,0,2025/07/07 00:00:00+00,24785.90625,794.662776910293
82,45,0,0,2025/07/07 00:00:00+00,13031.33984375,704.553443277805
83,76,2,0.03,2025/07/07 00:00:00+00,20329.83203125,703.500569903864
84,13,0,0,2025/07/07 00:00:00+00,2402.19140625,218.655044437601
85,35,0,0,2025/07/07 00:00:00+00,20557.8203125,603.9732363385
86,113,0,0,2025/07/07 00:00:00+00,140821.67578125,2685.67990821572
87,57,0,0,2025/07/07 00:00:00+00,10420.56640625,483.497403749241
88,20,0,0,2025/07/07 00:00:00+00,5161.38671875,340.108263023652
89,27,0,0,2025/07/07 00:00:00+00,15624.453125,710.988070870576
90,27,3,0.11,2025/07/07 00:00:00+00,3348.55078125,346.521036443044
91,10,0,0,2025/07/07 00:00:00+00,1913.37109375,184.395194038369
92,69,0,0,2025/07/07 00:00:00+00,23699.48828125,775.179296104964
93,3,0,0,2025/07/07 00:00:00+00,10484.53125,861.977726814064
94,103,0,0,2025/07/07 00:00:00+00,765592.2265625,4914.37575431383
95,64,1,0.02,2025/07/07 00:00:00+00,10080.89453125,492.745619373393
96,62,0,0,2025/07/07 00:00:00+00,35982.71484375,819.468516387566
97,67,0,0,2025/07/07 00:00:00+00,31806.84765625,960.876920574397
98,25,1,0.04,2025/07/07 00:00:00+00,32749.74609375,1050.34011913205
99,29,0,0,2025/07/07 00:00:00+00,8489.44921875,425.605455118162
100,44,0,0,2025/07/07 00:00:00+00,9830.1875,479.51021110867
101,18,0,0,2025/07/07 00:00:00+00,11627.13671875,439.61156644667
102,27,0,0,2025/07/07 00:00:00+00,10528.2578125,429.871800210722
103,22,0,0,2025/07/07 00:00:00+00,37854.6640625,775.692753092284
104,46,0,0,2025/07/07 00:00:00+00,23887.33203125,789.637261160002
105,34,0,0,2025/07/07 00:00:00+00,20207.86328125,602.287690290008
106,68,0,0,2025/07/07 00:00:00+00,13725.6171875,608.753539341777
107,38,0,0,2025/07/07 00:00:00+00,19571.81640625,617.222493620404
108,40,0,0,2025/07/07 00:00:00+00,23329.78515625,715.932364593718
109,37,0,0,2025/07/07 00:00:00+00,20164.3828125,601.464020540702
110,39,0,0,2025/07/07 00:00:00+00,22906.55078125,646.450557658338
111,45,1,0.02,2025/07/07 00:00:00+00,326857.08984375,2502.59907818483
112,29,0,0,2025/07/07 00:00:00+00,18166.5703125,722.878924017848
113,34,0,0,2025/07/07 00:00:00+00,3190.44921875,433.245028192713
114,24,1,0.04,2025/07/07 00:00:00+00,9635.52734375,395.206011606076
115,27,1,0.04,2025/07/07 00:00:00+00,6125.80078125,487.252280265539
116,168,0,0,2025/07/07 00:00:00+00,281113.109375,3849.85706218173
117,56,0,0,2025/07/07 00:00:00+00,27544.0546875,834.267051817153
118,46,0,0,2025/07/07 00:00:00+00,26553.76171875,793.30966423153
119,187,0,0,2025/07/07 00:00:00+00,111792.3828125,2956.94876971523
120,38,0,0,2025/07/07 00:00:00+00,19252.42578125,622.954827000933
121,18,0,0,2025/07/07 00:00:00+00,3492.15234375,295.114005433427
122,59,0,0,2025/07/07 00:00:00+00,31512.84375,987.884461357317
123,55,1,0.02,2025/07/07 00:00:00+00,10131.875,496.555872257119
124,53,0,0,2025/07/07 00:00:00+00,11343.26171875,539.564120391056
125,46,0,0,2025/07/07 00:00:00+00,10659.08984375,559.558998706394
126,54,0,0,2025/07/07 00:00:00+00,10646.93359375,494.735224220898
127,51,0,0,2025/07/07 00:00:00+00,9862.8046875,468.124696077727
128,58,0,0,2025/07/07 00:00:00+00,11426.55078125,510.286577362112
129,45,0,0,2025/07/07 00:00:00+00,10529.09765625,445.615064437915
130,30,0,0,2025/07/07 00:00:00+00,4221.0078125,420.146057224797
131,43,0,0,2025/07/07 00:00:00+00,10658.8984375,442.763715416668
132,14,0,0,2025/07/07 00:00:00+00,83180.9921875,1691.7837485959
133,9,0,0,2025/07/07 00:00:00+00,3669.17578125,379.194244010332
134,49,4,0.08,2025/07/07 00:00:00+00,9810.8984375,499.218806363657
135,49,0,0,2025/07/07 00:00:00+00,6410.55078125,698.627871273033
136,44,0,0,2025/07/07 00:00:00+00,435775,4119.35536938921
137,54,0,0,2025/07/07 00:00:00+00,15496.19140625,616.788502636263
138,40,2,0.05,2025/07/07 00:00:00+00,11153.6953125,568.6134273151
139,58,2,0.03,2025/07/07 00:00:00+00,7971.64453125,557.237496423478
140,197,1,0.01,2025/07/07 00:00:00+00,277301.32421875,5467.97862590705
141,51,1,0.02,2025/07/07 00:00:00+00,10344.5234375,837.798740437675
142,28,1,0.04,2025/07/07 00:00:00+00,3659.0546875,356.874864839506
143,5,0,0,2025/07/07 00:00:00+00,1989.23828125,202.366077216849
144,66,0,0,2025/07/07 00:00:00+00,12317.12890625,538.656887420195
145,59,0,0,2025/07/07 00:00:00+00,201248.4765625,3187.26589058313
146,10,0,0,2025/07/07 00:00:00+00,2033.3046875,181.979076799873
147,228,0,0,2025/07/07 00:00:00+00,82185.75,2436.8188178827
148,13,0,0,2025/07/07 00:00:00+00,2031.0859375,211.808272914072
149,55,0,0,2025/07/07 00:00:00+00,15804.11328125,571.733250894323
150,42,0,0,2025/07/07 00:00:00+00,22252.33984375,627.97012309886
151,56,0,0,2025/07/07 00:00:00+00,16704.828125,565.294765604118
152,52,0,0,2025/07/07 00:00:00+00,24803.40234375,752.132052644594
153,49,0,0,2025/07/07 00:00:00+00,12550.7265625,493.446356959168
154,32,0,0,2025/07/07 00:00:00+00,7558.13671875,392.124758734602
155,31,0,0,2025/07/07 00:00:00+00,16197.51953125,547.853635364447
156,59,0,0,2025/07/07 00:00:00+00,15632.1953125,554.478691490668
157,26,1,0.04,2025/07/07 00:00:00+00,290815.9453125,3904.95965969976
158,74,0,0,2025/07/07 00:00:00+00,43900.94140625,944.009320891061
159,34,0,0,2025/07/07 00:00:00+00,12292.4765625,554.12246176785
160,36,1,0.03,2025/07/07 00:00:00+00,9389.81640625,420.973349942925
161,52,0,0,2025/07/07 00:00:00+00,11056.3046875,505.309372936901
162,52,0,0,2025/07/07 00:00:00+00,5783.2421875,630.073401857049
163,28,0,0,2025/07/07 00:00:00+00,3736.31640625,367.800197282072
164,41,3,0.07,2025/07/07 00:00:00+00,5961.921875,574.285116739029
165,20,0,0,2025/07/07 00:00:00+00,2162.3203125,264.951125641176
166,12,0,0,2025/07/07 00:00:00+00,3114.37890625,359.133266256358
167,34,5,0.15,2025/07/07 00:00:00+00,7306.87890625,529.084184094694
168,44,0,0,2025/07/07 00:00:00+00,16905.5234375,555.062733509548
169,44,2,0.05,2025/07/07 00:00:00+00,8875.11328125,405.482529946733
170,23,0,0,2025/07/07 00:00:00+00,5422.5625,399.690341417592
171,6,0,0,2025/07/07 00:00:00+00,2167.01953125,189.514268977973
172,19,0,0,2025/07/07 00:00:00+00,6314.375,396.158989976167
173,57,1,0.02,2025/07/07 00:00:00+00,20792.7265625,587.678030047129
174,2,0,0,2025/07/07 00:00:00+00,72491.26953125,1157.64274328737
175,72,1,0.01,2025/07/07 00:00:00+00,15088.171875,637.343397314461
176,33,1,0.03,2025/07/07 00:00:00+00,7417.140625,392.455367616966
177,54,0,0,2025/07/07 00:00:00+00,12717.0078125,546.454179336369
178,36,0,0,2025/07/07 00:00:00+00,15679.14453125,559.469810059409
179,50,0,0,2025/07/07 00:00:00+00,13523.08984375,513.819905021377
180,49,0,0,2025/07/07 00:00:00+00,10896.86328125,462.334638259673
181,7,0,0,2025/07/07 00:00:00+00,1531.82421875,211.075602673027
182,68,0,0,2025/07/07 00:00:00+00,10948.6953125,532.214955828656
183,47,1,0.02,2025/07/07 00:00:00+00,21396.20703125,691.126287430981
184,38,0,0,2025/07/07 00:00:00+00,6338.8203125,398.014190868212
185,104,1,0.01,2025/07/07 00:00:00+00,99361.375,3153.36997893578
186,59,0,0,2025/07/07 00:00:00+00,14108.921875,783.94185321708
187,31,0,0,2025/07/07 00:00:00+00,12170.5625,735.877141605774
188,30,0,0,2025/07/07 00:00:00+00,4368.20703125,410.362647322821
189,45,0,0,2025/07/07 00:00:00+00,6810.82421875,667.366377227297
190,20,1,0.05,2025/07/07 00:00:00+00,2289.29296875,275.186872777439
191,44,0,0,2025/07/07 00:00:00+00,10395.1953125,447.427225657816
192,27,1,0.04,2025/07/07 00:00:00+00,3317.77734375,352.604923247602
193,15,0,0,2025/07/07 00:00:00+00,2387.30078125,240.390575313542
194,21,1,0.05,2025/07/07 00:00:00+00,4264.78515625,332.057003240945
195,13,1,0.08,2025/07/07 00:00:00+00,3266.6484375,244.499477963526
196,34,0,0,2025/07/07 00:00:00+00,6133.6171875,524.72529911042
197,70,0,0,2025/07/07 00:00:00+00,16510.6953125,612.175397653054
198,22,0,0,2025/07/07 00:00:00+00,3284.6640625,309.625250309618
199,48,0,0,2025/07/07 00:00:00+00,17508.15625,573.75826072313
200,12,0,0,2025/07/07 00:00:00+00,2835.11328125,230.009008099659
201,15,0,0,2025/07/07 00:00:00+00,6150.36328125,331.850645782888
202,49,0,0,2025/07/07 00:00:00+00,13278.03515625,533.567720642542
203,40,0,0,2025/07/07 00:00:00+00,6271.05859375,357.618414258775
204,12,0,0,2025/07/07 00:00:00+00,1800.5625,195.062702822568
205,38,1,0.03,2025/07/07 00:00:00+00,8260.6640625,473.355296589476
206,21,0,0,2025/07/07 00:00:00+00,18826.01171875,640.548035262183
207,22,0,0,2025/07/07 00:00:00+00,21740.32421875,666.081369966819
208,73,0,0,2025/07/07 00:00:00+00,75498.86328125,1914.78103504606
209,67,0,0,2025/07/07 00:00:00+00,29591.75,738.777310181491
210,7,0,0,2025/07/07 00:00:00+00,9324.19921875,566.740813037992
211,55,0,0,2025/07/07 00:00:00+00,30025.734375,883.151450520967
212,10,0,0,2025/07/07 00:00:00+00,1399.32421875,165.489808898939
213,13,1,0.08,2025/07/07 00:00:00+00,4217.01953125,289.313867472678
214,10,0,0,2025/07/07 00:00:00+00,95219.078125,2016.14667395058
215,76,0,0,2025/07/07 00:00:00+00,21883.2421875,603.224023794756
216,56,0,0,2025/07/07 00:00:00+00,10872.890625,647.073013888801
217,53,0,0,2025/07/07 00:00:00+00,6353.359375,457.604113187233
218,22,0,0,2025/07/07 00:00:00+00,4253.84765625,346.260142198176
219,16,0,0,2025/07/07 00:00:00+00,2958.64453125,246.207199211323
220,76,0,0,2025/07/07 00:00:00+00,18149.69140625,611.450902182974
221,56,1,0.02,2025/07/07 00:00:00+00,6741.37109375,404.210983431792
222,24,0,0,2025/07/07 00:00:00+00,3671.7109375,356.562300867081
223,26,0,0,2025/07/07 00:00:00+00,3096.96875,348.800850762903
224,28,0,0,2025/07/07 00:00:00+00,2937.703125,357.244350739454
225,50,2,0.04,2025/07/07 00:00:00+00,6720.05859375,404.554099699682
226,16,1,0.06,2025/07/07 00:00:00+00,103843.28125,1564.54897159778
227,28,0,0,2025/07/07 00:00:00+00,2984.87109375,351.626971076994
228,29,0,0,2025/07/07 00:00:00+00,14911.6953125,568.896853910851
229,13,0,0,2025/07/07 00:00:00+00,2000.6015625,210.768571729152
230,33,0,0,2025/07/07 00:00:00+00,9747.94921875,450.827016306118
231,57,0,0,2025/07/07 00:00:00+00,18402.99609375,582.426596721528
232,45,1,0.02,2025/07/07 00:00:00+00,8315.8359375,408.217044456734
233,24,0,0,2025/07/07 00:00:00+00,3436.47265625,239.299500198304
234,49,0,0,2025/07/07 00:00:00+00,11419.90625,522.096996596644
235,45,0,0,2025/07/07 00:00:00+00,17189.01171875,566.83014644027
236,37,0,0,2025/07/07 00:00:00+00,6908.55859375,392.38902533534
237,46,0,0,2025/07/07 00:00:00+00,9472.52734375,594.786864559468
238,17,1,0.06,2025/07/07 00:00:00+00,20218.81640625,830.139028735547
239,44,0,0,2025/07/07 00:00:00+00,14573.71484375,527.346646771002
240,31,1,0.03,2025/07/07 00:00:00+00,6780.73828125,485.456090247683
241,34,1,0.03,2025/07/07 00:00:00+00,3833.734375,451.815959344952
242,8,0,0,2025/07/07 00:00:00+00,878.1953125,128.155716681726
243,39,0,0,2025/07/07 00:00:00+00,15353.5546875,942.755558511781
244,33,1,0.03,2025/07/07 00:00:00+00,4939.51953125,665.667032088361
245,66,2,0.03,2025/07/07 00:00:00+00,9448.97265625,496.571591623979
246,5,1,0.2,2025/07/07 00:00:00+00,166060.50390625,1772.99108193045
247,26,1,0.04,2025/07/07 00:00:00+00,6094.16796875,397.174651003327
248,13,1,0.08,2025/07/07 00:00:00+00,13636.0859375,501.124086414647
249,20,0,0,2025/07/07 00:00:00+00,8274.44921875,413.392123778693
250,67,3,0.04,2025/07/07 00:00:00+00,21202,711.987891649748
251,19,0,0,2025/07/07 00:00:00+00,29384.9609375,976.674171188372
252,15,0,0,2025/07/07 00:00:00+00,8732.87109375,376.460970628005
253,13,3,0.23,2025/07/07 00:00:00+00,3587.84765625,286.819643726916
254,54,2,0.04,2025/07/07 00:00:00+00,18878.8359375,895.460353714895
255,4,0,0,2025/07/07 00:00:00+00,106572.67578125,1388.78368042922
256,17,0,0,2025/07/07 00:00:00+00,1831.2578125,245.503020708159
257,23,0,0,2025/07/07 00:00:00+00,5912.37109375,479.072344705728
258,18,0,0,2025/07/07 00:00:00+00,1928.60546875,262.27887111952
259,47,4,0.09,2025/07/07 00:00:00+00,11887.2890625,724.785971934601
260,22,0,0,2025/07/07 00:00:00+00,31784.62890625,704.529373171137
261,59,0,0,2025/07/07 00:00:00+00,41208.47265625,989.627144761988
262,52,0,0,2025/07/07 00:00:00+00,17208.21484375,571.20835009448
263,48,0,0,2025/07/07 00:00:00+00,29054.9453125,862.742830319552
264,42,1,0.02,2025/07/07 00:00:00+00,12323.08984375,485.575152323805
265,26,0,0,2025/07/07 00:00:00+00,3920.01171875,344.471313293575
266,49,0,0,2025/07/07 00:00:00+00,9392.36328125,649.924888146286
267,45,0,0,2025/07/07 00:00:00+00,8593.8828125,629.820752937872
268,26,0,0,2025/07/07 00:00:00+00,6002.67578125,480.184190738963
269,33,0,0,2025/07/07 00:00:00+00,5351.16015625,302.850029504183
270,56,0,0,2025/07/07 00:00:00+00,216491.0859375,2007.59696364865
271,49,0,0,2025/07/07 00:00:00+00,91362.08984375,1835.49395535477
272,29,0,0,2025/07/07 00:00:00+00,39766.83984375,900.786290894751
273,74,0,0,2025/07/07 00:00:00+00,19104.1640625,709.981501672321
274,30,0,0,2025/07/07 00:00:00+00,16681.140625,541.884782559183
275,68,1,0.01,2025/07/07 00:00:00+00,16474.25,601.074509432082
276,59,0,0,2025/07/07 00:00:00+00,140914.3671875,3751.62386677859
277,50,1,0.02,2025/07/07 00:00:00+00,26853.3828125,829.91053954528
278,67,0,0,2025/07/07 00:00:00+00,99256.39453125,2050.7269247323
279,30,1,0.03,2025/07/07 00:00:00+00,10631.76171875,418.625601664417
280,19,0,0,2025/07/07 00:00:00+00,7688.8203125,352.505143495406
281,32,0,0,2025/07/07 00:00:00+00,14694.05859375,526.516430086483
282,28,0,0,2025/07/07 00:00:00+00,7133.3515625,447.756116325587
283,45,0,0,2025/07/07 00:00:00+00,5302.671875,645.388448409056
284,18,0,0,2025/07/07 00:00:00+00,2557.9140625,260.517062415117
285,27,1,0.04,2025/07/07 00:00:00+00,2967.12890625,347.508460059676
286,15,0,0,2025/07/07 00:00:00+00,2375.859375,240.07703174363
287,19,0,0,2025/07/07 00:00:00+00,2278.98828125,256.111927658515
288,52,2,0.04,2025/07/07 00:00:00+00,6050.37890625,464.20306441557
289,18,1,0.06,2025/07/07 00:00:00+00,5727.44921875,391.773199180168
290,36,0,0,2025/07/07 00:00:00+00,14036.72265625,509.834109684068
291,70,3,0.04,2025/07/07 00:00:00+00,22056.69140625,642.004273252129
292,36,2,0.06,2025/07/07 00:00:00+00,19446.92578125,637.104389038323
293,40,0,0,2025/07/07 00:00:00+00,16883.7890625,586.684566353022
294,8,1,0.12,2025/07/07 00:00:00+00,20174.76171875,644.685796988163
295,46,0,0,2025/07/07 00:00:00+00,24339.82421875,983.917778885575
296,68,0,0,2025/07/07 00:00:00+00,16155.609375,627.383199105887
297,132,0,0,2025/07/07 00:00:00+00,82160.0078125,1978.71842580793
298,202,0,0,2025/07/07 00:00:00+00,84024.81640625,2547.48847326971
299,191,0,0,2025/07/07 00:00:00+00,167962.74609375,3163.80019405398
300,46,0,0,2025/07/07 00:00:00+00,23414.22265625,655.687860823873
301,27,0,0,2025/07/07 00:00:00+00,14162.73046875,489.022226028706
302,3,0,0,2025/07/07 00:00:00+00,113425.34375,1464.3026359815
303,36,0,0,2025/07/07 00:00:00+00,12819.359375,482.334042111821
304,54,0,0,2025/07/07 00:00:00+00,13219.40234375,585.3667485294
305,61,0,0,2025/07/07 00:00:00+00,22088.8125,762.533767860852
306,21,1,0.05,2025/07/07 00:00:00+00,8131,364.872160711124
307,52,0,0,2025/07/07 00:00:00+00,17601.76953125,837.845773500287
308,46,0,0,2025/07/07 00:00:00+00,13505.7265625,486.715042800147
309,35,0,0,2025/07/07 00:00:00+00,42373.44921875,1058.75712727397
310,53,1,0.02,2025/07/07 00:00:00+00,14002.953125,508.368846219898
311,46,0,0,2025/07/07 00:00:00+00,8344.16796875,420.698367239783
312,101,1,0.01,2025/07/07 00:00:00+00,93874.06640625,1951.85357622128
313,26,0,0,2025/07/07 00:00:00+00,25605.6484375,780.775729668627
314,15,0,0,2025/07/07 00:00:00+00,10352.27734375,409.100549930568
315,189,1,0.01,2025/07/07 00:00:00+00,77446.9140625,2160.6441818214
316,31,0,0,2025/07/07 00:00:00+00,18684.4140625,723.284519362694
317,57,1,0.02,2025/07/07 00:00:00+00,29820.01171875,865.1198560318
318,33,0,0,2025/07/07 00:00:00+00,19953.95703125,654.998467920992
319,30,0,0,2025/07/07 00:00:00+00,18079.10546875,768.246332330562
320,73,3,0.04,2025/07/07 00:00:00+00,7615.26953125,467.132411217197
321,84,1,0.01,2025/07/07 00:00:00+00,19921.2578125,917.866720501565
322,46,3,0.07,2025/07/07 00:00:00+00,8214.1171875,646.919526246952
323,19,0,0,2025/07/07 00:00:00+00,3819.84375,374.280487452
324,47,0,0,2025/07/07 00:00:00+00,8892.31640625,531.945593557219
325,74,3,0.04,2025/07/07 00:00:00+00,24550.6796875,993.015523698581
326,54,1,0.02,2025/07/07 00:00:00+00,13623,535.596706203028
327,15,0,0,2025/07/07 00:00:00+00,2791.7421875,242.917925862355
328,39,0,0,2025/07/07 00:00:00+00,15224.171875,530.875712328906
329,20,0,0,2025/07/07 00:00:00+00,3489,291.184903441756
330,34,0,0,2025/07/07 00:00:00+00,11295.28125,512.634034473952
331,50,0,0,2025/07/07 00:00:00+00,17647.97265625,632.603215675337
332,42,0,0,2025/07/07 00:00:00+00,19220.13671875,602.741602836887
333,29,1,0.03,2025/07/07 00:00:00+00,15794.2578125,566.238735352865
334,26,0,0,2025/07/07 00:00:00+00,18318.921875,613.874463964548
335,83,0,0,2025/07/07 00:00:00+00,39353.16015625,1052.21162389426
336,46,0,0,2025/07/07 00:00:00+00,20857.99609375,668.618160603695
337,71,0,0,2025/07/07 00:00:00+00,41466.09765625,1018.5181160996
338,54,0,0,2025/07/07 00:00:00+00,23126.84765625,729.451494273727
339,36,0,0,2025/07/07 00:00:00+00,18622.0078125,613.96722338213
340,37,0,0,2025/07/07 00:00:00+00,17379.6953125,593.056681342944
341,97,0,0,2025/07/07 00:00:00+00,45870.78515625,1491.02635542917
342,21,0,0,2025/07/07 00:00:00+00,12167.78125,458.872064086295
343,73,0,0,2025/07/07 00:00:00+00,53152.14453125,1544.40179630271
344,31,1,0.03,2025/07/07 00:00:00+00,8094.8125,362.211073633203
345,22,0,0,2025/07/07 00:00:00+00,22025.99609375,646.223429961081
346,84,0,0,2025/07/07 00:00:00+00,45163.90234375,1356.60001736047
347,18,0,0,2025/07/07 00:00:00+00,18517.109375,598.745080754319
348,42,0,0,2025/07/07 00:00:00+00,12772.78515625,469.797383062302
349,40,0,0,2025/07/07 00:00:00+00,17216.2109375,574.276446411391
350,62,1,0.02,2025/07/07 00:00:00+00,61283.9140625,1105.02061883922
351,66,0,0,2025/07/07 00:00:00+00,17927.1640625,611.00988153848
352,29,1,0.03,2025/07/07 00:00:00+00,118451.828125,1630.30795796256
353,35,0,0,2025/07/07 00:00:00+00,10223.08203125,416.983452748208
354,61,0,0,2025/07/07 00:00:00+00,16348.1875,582.148849297527
355,25,1,0.04,2025/07/07 00:00:00+00,6776.6015625,511.61502213269
356,76,0,0,2025/07/07 00:00:00+00,23902.5078125,764.014954112761
357,13,0,0,2025/07/07 00:00:00+00,10879.859375,440.830014995771
358,26,0,0,2025/07/07 00:00:00+00,15458.78125,537.50820467655
359,54,0,0,2025/07/07 00:00:00+00,29293.73828125,799.389368755087
360,57,0,0,2025/07/07 00:00:00+00,13976.66796875,565.218683793098
361,21,0,0,2025/07/07 00:00:00+00,7370.4765625,412.876623154074
362,84,0,0,2025/07/07 00:00:00+00,25175.046875,769.618493886718
363,53,0,0,2025/07/07 00:00:00+00,9287.1796875,442.263876165502
364,57,0,0,2025/07/07 00:00:00+00,10766.0078125,497.045252413711
365,33,0,0,2025/07/07 00:00:00+00,11026.69140625,424.626831271809
366,14,0,0,2025/07/07 00:00:00+00,39284.609375,854.995074444815
367,6,0,0,2025/07/07 00:00:00+00,13868.78515625,618.471548743746
368,38,0,0,2025/07/07 00:00:00+00,9993.52734375,453.198001595461
369,65,0,0,2025/07/07 00:00:00+00,33067.1484375,936.28158253999
370,38,0,0,2025/07/07 00:00:00+00,20491.67578125,622.971889395804
371,40,0,0,2025/07/07 00:00:00+00,21228.92578125,669.376280366839
372,17,0,0,2025/07/07 00:00:00+00,25949.37890625,666.584166394674
373,53,1,0.02,2025/07/07 00:00:00+00,21774.76171875,739.918223927306
